填料类型,填料类别,填料负载量(mg/cm²),比表面积(m²/g),粒径(nm),孔体积(cm³/g),基底材料,隔膜厚度(μm),孔隙率,电解液体系,温度(°C),倍率(C),循环次数,离子电导率(mS/cm),初始比容量(mAh/g),容量保持率(%),库伦效率(%),穿梭因子
Al₂O₃,金属氧化物,1.216,124.1,25.1,0.36,Celgard 2400(PP),30.4,0.364,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,500,1.004,1022.5,92.8,98.6,0.02
CoS₂,金属硫化物,0.914,52.5,25.3,0.142,PVDF-HFP,33.2,0.682,砜类(DIPAS) + 1M LiTFSI,55,5.0,100,0.876,1077.6,99.0,92.51,0.1263
rGO,碳基,1.889,311.3,5.5,0.675,尼龙膜,20.7,0.648,TEGDME + 1M LiTFSI + 0.1M LiNO₃,55,0.5,100,1.159,1114.8,99.0,98.92,0.02
氮掺杂碳,碳基,0.11,512.2,25.2,0.961,PAN,22.1,0.645,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,100,0.563,1278.1,99.0,97.0,0.2049
rGO,碳基,1.335,334.3,5.9,0.521,Celgard 3501(PP/PE/PP),34.0,0.492,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,5.0,200,0.867,1036.3,99.0,98.54,0.02
CoS₂,金属硫化物,1.791,39.8,36.8,0.143,尼龙膜,31.9,0.66,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,1.0,800,1.367,906.1,99.0,99.9,0.02
Co₃O₄,金属氧化物,1.655,77.9,33.8,0.285,PET,19.9,0.491,砜类(DIPAS) + 1M LiTFSI,25,0.2,100,0.548,1124.1,99.0,95.99,0.0317
Al₂O₃,金属氧化物,1.025,122.0,16.6,0.299,PAN,21.7,0.772,TEGDME + 1M LiTFSI,30,2.0,50,0.91,1045.2,99.0,93.8,0.2852
碳黑(Super P),碳基,1.431,63.6,33.0,0.243,PI(聚酰亚胺),16.7,0.457,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,50,0.2,1000,1.516,1270.2,86.6,97.4,0.0752
WO₃,金属氧化物,1.063,30.6,30.9,0.116,PAN,17.5,0.801,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,0.5,50,1.613,1108.3,99.0,97.46,0.0799
多孔碳球,碳基,1.472,871.4,25.5,1.088,Celgard 3501(PP/PE/PP),46.3,0.478,DOL/DME + 2M LiTFSI,60,0.5,500,1.82,1463.2,99.0,94.01,0.0247
Al₂O₃,金属氧化物,2.258,121.6,24.4,0.319,Celgard 2500(PE),27.1,0.492,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,2.0,500,0.558,756.4,99.0,99.79,0.02
Al₂O₃,金属氧化物,1.599,121.9,14.2,0.436,Celgard 2400(PP),26.9,0.381,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,2.0,800,0.576,961.9,97.0,98.88,0.02
ZnO,金属氧化物,0.806,26.7,52.5,0.114,Celgard 2400(PP),34.7,0.427,DOL/DME + 0.5M LiTFSI,25,1.0,1000,1.44,983.6,86.5,93.95,0.2012
ZnO,金属氧化物,1.366,29.8,75.4,0.158,尼龙膜,18.4,0.661,DOL/DME + 0.5M LiTFSI,45,1.0,800,2.141,989.8,90.8,94.57,0.15
CoS₂,金属硫化物,0.892,48.7,29.8,0.169,PI(聚酰亚胺),15.5,0.461,DOL/DME + 0.5M LiTFSI,50,0.1,100,2.131,1301.0,99.0,93.02,0.1553
MnO₂,金属氧化物,1.013,79.4,31.6,0.202,Celgard 3501(PP/PE/PP),40.6,0.421,DOL/DME + 2M LiTFSI,55,3.0,500,1.369,1055.3,95.7,93.51,0.0904
VN,氮化物,1.214,50.5,14.2,0.192,GF/A(玻璃纤维),254.5,0.849,DOL/DME + 0.5M LiTFSI,45,5.0,100,2.508,914.7,99.0,94.45,0.2035
碳黑(Super P),碳基,0.181,60.9,41.1,0.236,PVDF-HFP,29.9,0.564,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,3.0,1000,1.698,979.0,76.4,95.84,0.1733
MWCNT,碳基,1.253,192.2,51.7,0.702,PET,24.0,0.411,TEGDME + 1M LiTFSI,60,0.2,800,1.217,1548.4,91.2,93.38,0.1081
MIL-101(Cr),MOF/COF,1.507,3154.2,2.4,1.175,PVDF,23.0,0.657,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,55,0.5,200,1.653,1593.5,99.0,92.85,0.02
WS₂,金属硫化物,0.629,35.0,34.9,0.117,Celgard 2400(PP),33.8,0.443,TEGDME + 1M LiTFSI,45,1.0,100,0.887,1082.7,97.3,92.46,0.2582
MnO₂,金属氧化物,0.801,86.8,32.9,0.268,Celgard 3501(PP/PE/PP),31.2,0.496,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,0.2,100,0.738,1116.6,99.0,98.0,0.1069
碳纳米纤维(CNF),碳基,2.887,205.3,125.6,0.557,PVDF-HFP,25.2,0.719,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,0.2,500,1.607,730.4,99.0,98.13,0.02
TpPa-COF,MOF/COF,2.673,422.9,6.0,0.474,PI(聚酰亚胺),22.6,0.572,DOL/DME + 2M LiTFSI,25,0.5,200,0.803,714.2,99.0,95.89,0.02
氧化石墨烯(GO),碳基,0.303,385.8,6.6,0.637,Celgard 2400(PP),24.1,0.473,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,3.0,200,0.408,1026.2,92.8,92.05,0.261
Mo₂N,氮化物,0.288,56.7,18.8,0.206,Celgard 3501(PP/PE/PP),35.7,0.445,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,100,1.052,866.2,99.0,96.39,0.1816
石墨烯,碳基,2.87,446.8,9.7,1.034,Celgard 2500(PE),25.9,0.454,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,1.0,500,1.687,692.0,99.0,98.86,0.02
碳纳米纤维(CNF),碳基,0.228,184.1,104.1,0.589,Celgard 3501(PP/PE/PP),34.8,0.321,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.2,500,0.949,1275.8,83.2,95.64,0.1505
ZIF-67,MOF/COF,2.718,1605.2,3.8,0.567,PI(聚酰亚胺),25.4,0.493,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,5.0,100,1.488,691.9,99.0,99.9,0.02
介孔碳(CMK-3),碳基,2.583,1071.3,10.2,1.582,纤维素膜,35.9,0.693,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,30,0.2,1000,1.434,983.6,97.8,98.57,0.02
rGO,碳基,1.372,342.0,6.2,1.05,PVDF,23.0,0.64,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,1.0,500,0.834,1406.3,99.0,94.47,0.1416
TpPa-COF,MOF/COF,2.618,583.6,5.8,0.337,PVDF,34.3,0.664,砜类(DIPAS) + 1M LiTFSI,25,3.0,100,0.738,645.8,99.0,96.36,0.02
TiN,氮化物,1.103,80.3,22.6,0.215,Celgard 3501(PP/PE/PP),36.0,0.477,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,200,1.103,1025.8,99.0,99.9,0.02
rGO,碳基,2.502,365.4,6.8,0.796,纤维素膜,37.9,0.692,DOL/DME + 1M LiTFSI,40,5.0,1000,1.802,791.6,97.2,95.26,0.0248
WS₂,金属硫化物,1.19,35.0,28.0,0.163,Whatman GF/D,672.8,0.882,TEGDME + 1M LiTFSI,35,0.2,500,0.982,1140.0,97.1,94.95,0.1488
MWCNT,碳基,0.195,212.1,26.1,0.482,Celgard 2500(PE),26.2,0.538,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,60,0.2,200,2.049,1274.6,93.7,94.93,0.2215
MWCNT,碳基,1.873,196.5,58.7,0.663,Celgard 3501(PP/PE/PP),39.4,0.553,DOL/DME + 0.5M LiTFSI,45,2.0,100,2.144,1104.4,99.0,94.53,0.0731
MWCNT,碳基,0.186,214.4,44.3,0.567,PVDF,21.5,0.59,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.1,1000,1.018,1132.6,74.1,96.18,0.2461
Mo₂N,氮化物,2.251,44.8,21.2,0.179,PVDF-HFP,30.6,0.594,DOL/DME + 0.5M LiTFSI,40,0.1,300,1.607,944.9,99.0,95.09,0.02
碳纳米纤维(CNF),碳基,1.125,173.4,126.6,0.532,尼龙膜,23.6,0.631,DOL/DME + 0.5M LiTFSI,25,0.2,800,1.612,1333.9,86.7,92.15,0.2436
ZnO,金属氧化物,2.005,29.7,58.1,0.137,PVDF-HFP,25.5,0.613,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,0.1,200,1.604,997.4,99.0,99.9,0.02
碳黑(Super P),碳基,1.707,54.2,50.1,0.214,Whatman GF/D,665.3,0.824,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,55,0.5,200,0.619,1042.9,99.0,92.17,0.1936
Fe₂O₃,金属氧化物,2.073,49.2,44.1,0.138,尼龙膜,24.1,0.561,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,0.5,200,0.684,890.5,99.0,99.72,0.02
CoS₂,金属硫化物,2.71,45.3,30.4,0.127,PAN,20.4,0.748,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,1.0,50,1.498,649.3,99.0,99.57,0.02
石墨烯,碳基,2.306,412.6,9.3,1.068,Celgard 2500(PE),21.8,0.62,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.1,500,0.4,1100.4,99.0,95.27,0.02
V₂O₅,金属氧化物,2.029,40.0,32.2,0.11,PAN,27.0,0.643,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,5.0,200,1.581,727.9,99.0,99.9,0.02
WS₂,金属硫化物,2.71,44.0,29.2,0.139,PVDF-HFP,26.7,0.635,DOL/DME + 1M LiTFSI,25,1.0,50,1.212,519.3,99.0,96.5,0.02
碳黑(Super P),碳基,2.651,69.2,41.6,0.277,PVDF-HFP,33.9,0.678,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,0.2,100,0.822,782.0,99.0,98.51,0.0643
碳黑(Super P),碳基,1.865,62.6,35.9,0.259,尼龙膜,24.2,0.544,DOL/DME + 2M LiTFSI,25,1.0,800,0.855,960.7,92.7,92.69,0.1244
氧化石墨烯(GO),碳基,2.187,331.8,5.9,0.728,PVDF,29.4,0.599,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,1.0,200,1.789,1052.1,99.0,99.71,0.02
MnO₂,金属氧化物,1.829,67.4,32.6,0.229,Celgard 2400(PP),15.7,0.372,DOL/DME + 0.5M LiTFSI,25,3.0,500,1.437,850.5,99.0,96.15,0.02
TpPa-COF,MOF/COF,2.171,548.3,7.7,0.39,Whatman GF/D,665.1,0.866,TEGDME + 1M LiTFSI + 0.1M LiNO₃,35,0.1,1000,1.113,1148.8,99.0,99.9,0.02
La₂O₃,金属氧化物,1.315,22.6,69.6,0.112,PI(聚酰亚胺),15.4,0.565,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,0.1,1000,0.439,1148.5,85.7,94.01,0.1113
rGO,碳基,0.613,350.6,6.8,0.744,PVDF,34.8,0.551,DOL/DME + 1M LiTFSI,40,0.2,1000,1.504,1360.8,75.7,92.92,0.2258
CNT,碳基,1.975,291.0,38.5,0.844,Whatman GF/D,666.1,0.794,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,50,2.0,500,0.728,1146.6,99.0,95.74,0.051
La₂O₃,金属氧化物,1.764,15.9,56.6,0.097,PVDF-HFP,23.1,0.565,DOL/DME + 2M LiTFSI,45,2.0,100,1.141,911.8,99.0,94.23,0.0776
Mo₂N,氮化物,2.502,43.3,26.5,0.127,PVDF,29.4,0.609,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.1,800,0.588,792.3,99.0,98.88,0.02
BN,氮化物,1.658,28.6,35.2,0.119,GF/A(玻璃纤维),259.7,0.79,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.2,1000,0.753,1019.2,89.4,99.24,0.02
氧化石墨烯(GO),碳基,1.705,386.4,3.9,0.6,PVDF,22.0,0.616,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,1.0,500,1.602,1206.3,99.0,99.9,0.02
rGO,碳基,0.589,384.8,6.9,0.888,纤维素膜,32.4,0.6,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,5.0,500,0.532,1119.8,88.8,92.46,0.1806
ZIF-8,MOF/COF,2.084,1454.7,4.1,0.649,尼龙膜,27.7,0.615,TEGDME + 1M LiTFSI,35,0.1,50,1.196,1294.8,99.0,96.54,0.02
COF-LZU1,MOF/COF,1.491,557.1,8.1,0.285,PAN,13.7,0.679,DOL/DME + 1M LiTFSI,45,0.5,500,2.114,1208.4,99.0,94.69,0.094
MIL-101(Cr),MOF/COF,1.135,2910.4,3.4,1.503,Celgard 2500(PE),25.4,0.564,DOL/DME + 1M LiTFSI,25,0.5,1000,2.408,1592.4,99.0,95.67,0.02
COF-LZU1,MOF/COF,2.44,323.8,6.3,0.367,PVDF,16.4,0.604,DOL/DME + 2M LiTFSI,25,1.0,500,0.987,808.7,99.0,97.27,0.02
Fe₂O₃,金属氧化物,1.046,33.0,39.2,0.122,PVDF-HFP,21.8,0.702,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,0.5,1000,1.504,1176.8,85.2,97.83,0.0726
BN,氮化物,2.846,22.1,56.5,0.122,尼龙膜,5.0,0.618,砜类(DIPAS) + 1M LiTFSI,35,0.2,100,0.556,542.5,99.0,94.95,0.1004
BN,氮化物,2.445,26.4,58.9,0.107,PET,14.0,0.514,DOL/DME + 1M LiTFSI,50,2.0,100,1.642,735.3,99.0,95.44,0.0297
氧化石墨烯(GO),碳基,2.715,353.6,4.3,0.63,PVDF-HFP,33.3,0.658,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.5,500,1.706,683.3,99.0,99.9,0.02
BN,氮化物,2.66,25.5,34.7,0.123,PI(聚酰亚胺),27.1,0.426,DOL/DME + 0.5M LiTFSI,50,0.5,500,1.852,717.6,99.0,94.42,0.02
TiO₂,金属氧化物,0.099,50.5,30.6,0.16,PVDF,30.7,0.627,砜类(DIPAS) + 1M LiTFSI,60,5.0,200,0.926,847.2,96.4,92.19,0.3621
g-C₃N₄,氮化物,0.951,87.5,18.4,0.294,Whatman GF/D,672.5,0.789,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.2,100,0.411,1102.3,99.0,93.56,0.216
SnS₂,金属硫化物,0.399,36.2,39.8,0.163,PVDF-HFP,26.1,0.623,砜类(DIPAS) + 1M LiTFSI,50,3.0,200,0.755,939.2,92.6,93.06,0.299
BN,氮化物,1.512,28.7,42.4,0.106,PVDF-HFP,23.0,0.716,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,30,0.2,50,1.143,1203.6,99.0,97.7,0.02
MoS₂,金属硫化物,1.58,50.4,27.4,0.202,Celgard 2500(PE),28.9,0.562,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,100,1.276,893.7,99.0,99.9,0.02
MIL-101(Cr),MOF/COF,1.951,2959.8,4.8,1.263,Celgard 2500(PE),15.7,0.529,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,40,0.2,500,2.886,1554.4,99.0,99.9,0.02
SnS₂,金属硫化物,1.228,44.6,38.3,0.168,Celgard 2400(PP),25.5,0.418,DOL/DME + 1M LiTFSI,25,1.0,500,1.07,1126.1,98.7,94.91,0.1154
PANI(聚苯胺),聚合物,2.406,33.3,62.6,0.107,GF/A(玻璃纤维),254.9,0.774,TEGDME + 1M LiTFSI,25,0.5,800,0.714,639.0,98.4,95.41,0.02
rGO,碳基,0.573,299.4,4.3,0.82,PVDF,27.1,0.576,DOL/DME + 1M LiTFSI,25,1.0,800,1.252,1240.5,82.8,93.48,0.2322
MoS₂,金属硫化物,0.606,52.6,26.3,0.159,PVDF,26.0,0.588,DOL/DME + 2M LiTFSI,25,3.0,100,0.925,945.9,99.0,93.54,0.2226
ZIF-67,MOF/COF,0.338,1481.4,5.6,0.798,Celgard 2500(PE),12.2,0.617,砜类(DIPAS) + 1M LiTFSI,25,0.5,800,0.543,1338.9,94.6,92.74,0.1271
MnO₂,金属氧化物,1.898,91.5,35.1,0.346,PAN,18.9,0.701,DOL/DME + 0.5M LiTFSI,50,1.0,100,2.536,1014.2,99.0,94.21,0.02
V₂O₅,金属氧化物,0.761,35.9,32.0,0.158,Whatman GF/D,666.6,0.849,砜类(DIPAS) + 1M LiTFSI,55,1.0,50,0.96,1021.6,99.0,91.18,0.2925
VS₂,金属硫化物,1.523,41.7,22.4,0.143,Celgard 3501(PP/PE/PP),36.8,0.41,砜类(DIPAS) + 1M LiTFSI,45,0.2,100,0.767,1127.6,99.0,95.6,0.02
WS₂,金属硫化物,0.434,32.8,32.4,0.159,PVDF-HFP,33.6,0.602,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,0.1,500,0.607,1248.7,93.1,92.93,0.2928
HKUST-1,MOF/COF,1.348,1858.2,5.3,0.923,PET,18.8,0.458,DOL/DME + 2M LiTFSI,35,0.5,200,1.658,1461.4,99.0,95.0,0.02
WS₂,金属硫化物,2.541,39.3,35.5,0.145,Celgard 2500(PE),22.4,0.529,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,35,0.5,500,1.156,741.6,99.0,99.9,0.02
ZnO,金属氧化物,1.359,38.6,38.7,0.114,PET,22.6,0.488,DOL/DME + 1M LiTFSI,25,0.5,800,1.324,996.4,97.0,93.8,0.1016
